id,planta,periodo_formatado,risco_classificacao,classificacao_original,data_criacao,risco,dt_atualizacao,status_id,status,status_codigo,peso_matematico,mes_ref,is_present
41A1B6-3954,Siqueira das Pedras 2,2023-04,1,4,2026-06-06 05:26:44,Baixo,2024-11-04 13:58:14,ST-02,Concluído,100,5,2026-05-25,True
AE3173-938,Nunes 0,2023-05,2,1,2026-02-01 02:28:08,Crítico,2026-04-24 03:21:18,ST-02,Em Andamento,400,10,2024-11-12,True
52F89E-3766,Siqueira das Pedras 2,2023-09,4,4,2026-05-13 20:30:55,Alto,2025-04-03 20:47:40,ST-02,Cancelado,100,10,2025-12-23,True
3417A2-1548,Nunes 0,2023-09,3,2,2025-04-18 12:14:26,Alto,2025-06-18 07:04:20,ST-01,Aberto,200,10,2026-06-25,True
4517B7-2599,Gomes de Garcia 3,2023-10,2,4,2025-09-29 20:57:38,Médio,2025-07-23 23:37:19,ST-02,Cancelado,100,5,2024-08-15,True
3AF975-5243,Siqueira das Pedras 2,2023-01,2,4,2024-10-18 01:04:59,Baixo,2025-03-06 20:48:27,ST-02,Concluído,200,10,2025-12-23,True
E4BCCF-5820,Porto do Galho 4,2023-07,3,1,2025-07-23 10:53:37,Baixo,2026-04-14 14:30:21,ST-02,Cancelado,300,5,2024-11-12,True
3B89EC-4965,Porto do Galho 4,2023-10,3,3,2024-08-25 01:38:28,Médio,2025-08-02 13:15:23,ST-01,Cancelado,200,10,2026-06-25,True
BDF211-2816,Porto do Galho 4,2023-10,1,2,2026-06-28 21:43:42,Crítico,2024-08-23 02:13:39,ST-02,Aberto,200,5,2025-08-20,True
1081E8-2511,Cardoso Verde 1,2023-03,1,2,2024-10-03 13:28:36,Alto,2025-08-02 13:15:23,ST-01,Cancelado,200,10,2025-05-25,True
52366C-2257,Siqueira das Pedras 2,2023-12,3,1,2026-03-19 05:19:38,Baixo,2026-06-19 17:33:40,ST-01,Aberto,300,10,2025-12-23,True
4165B7-4210,Gomes de Garcia 3,2023-07,4,4,2024-11-19 05:09:47,Médio,2025-04-03 20:47:40,ST-01,Em Andamento,100,5,2024-09-04,True
69E2FC-5267,Porto do Galho 4,2023-06,4,1,2025-12-22 16:14:20,Médio,2025-07-23 23:37:19,ST-02,Cancelado,400,5,2026-05-18,True
B3D672-395,Porto do Galho 4,2023-12,4,4,2026-03-14 13:01:37,Alto,2025-01-20 20:32:14,ST-01,Cancelado,200,10,2024-09-04,True
A5C17F-5766,Nunes 0,2023-02,2,1,2024-11-16 05:40:58,Baixo,2025-03-06 20:48:27,ST-02,Concluído,400,5,2025-12-23,True
B2CEB3-4607,Siqueira das Pedras 2,2023-11,1,3,2026-02-02 15:05:45,Crítico,2024-11-04 13:58:14,ST-02,Aberto,300,5,2024-09-04,True
A31896-2812,Gomes de Garcia 3,2023-05,2,4,2026-06-20 01:15:49,Crítico,2025-10-10 09:10:13,ST-01,Cancelado,100,10,2024-09-15,True
A6FADC-5705,Porto do Galho 4,2024-01,2,4,2024-09-29 10:26:03,Baixo,2026-04-24 03:21:18,ST-02,Em Andamento,100,5,2024-11-12,True
BB429F-5541,Porto do Galho 4,2023-06,3,3,2025-05-22 17:30:54,Médio,2026-04-14 14:30:21,ST-02,Aberto,300,5,2024-09-15,True
B6DFFE-1207,Siqueira das Pedras 2,2023-04,3,1,2025-04-11 23:30:37,Médio,2026-05-12 08:01:18,ST-01,Concluído,400,10,2026-05-18,True
5A92F0-2291,Cardoso Verde 1,2023-12,2,3,2025-05-28 07:13:10,Médio,2024-08-02 04:55:02,ST-02,Concluído,300,10,2024-08-15,True
A8B0C0-3884,Gomes de Garcia 3,2023-02,1,3,2026-01-23 22:32:17,Alto,2025-08-02 13:15:23,ST-01,Em Andamento,300,10,2024-07-19,True
676D65-1076,Gomes de Garcia 3,2023-02,2,3,2024-09-14 00:04:33,Baixo,2025-04-03 20:47:40,ST-02,Cancelado,400,5,2025-08-20,True
28F660-3741,Cardoso Verde 1,2023-09,2,3,2025-04-19 06:54:49,Baixo,2026-04-24 03:21:18,ST-02,Cancelado,200,5,2026-06-25,True
ADEEF5-5403,Porto do Galho 4,2023-01,3,3,2026-03-23 06:43:28,Médio,2025-08-02 13:15:23,ST-02,Concluído,200,10,2024-09-23,True
339BEE-1455,Gomes de Garcia 3,2023-01,3,2,2026-02-16 11:12:04,Médio,2026-04-14 14:30:21,ST-02,Aberto,100,5,2025-08-20,True
F7E3EF-5748,Cardoso Verde 1,2023-12,2,4,2025-04-14 20:40:26,Baixo,2025-04-03 20:47:40,ST-02,Cancelado,100,5,2024-09-23,True
1D2C26-270,Gomes de Garcia 3,2023-10,1,4,2025-12-04 15:16:15,Baixo,2026-05-12 08:01:18,ST-02,Concluído,200,5,2024-08-15,True
D400FE-2107,Gomes de Garcia 3,2023-10,1,4,2025-06-03 09:14:50,Baixo,2025-11-22 23:28:44,ST-01,Aberto,300,5,2024-09-23,True
04F3AD-959,Gomes de Garcia 3,2023-10,2,1,2024-12-10 04:11:19,Médio,2024-08-02 04:55:02,ST-02,Concluído,400,10,2026-06-25,True
DE1E64-5184,Gomes de Garcia 3,2023-12,3,4,2026-02-13 22:59:23,Médio,2025-07-23 23:37:19,ST-02,Concluído,400,10,2024-07-19,True
992AB5-1064,Gomes de Garcia 3,2023-02,2,1,2024-07-09 18:13:36,Alto,2024-08-12 14:20:14,ST-01,Aberto,300,5,2024-11-12,True
30336D-1758,Nunes 0,2023-04,3,3,2025-12-25 06:49:11,Médio,2026-05-16 01:41:14,ST-02,Aberto,100,10,2025-05-25,True
E15B9C-4588,Gomes de Garcia 3,2023-06,4,2,2025-03-21 18:54:57,Baixo,2025-01-20 20:32:14,ST-02,Cancelado,100,5,2025-05-25,True
3F6D3A-6152,Siqueira das Pedras 2,2023-06,4,2,2024-08-10 11:35:20,Médio,2024-07-23 11:43:18,ST-02,Concluído,400,10,2026-05-18,True
73274D-5187,Siqueira das Pedras 2,2023-08,2,2,2024-11-09 23:50:36,Médio,2025-08-02 13:15:23,ST-01,Em Andamento,100,10,2025-08-29,True
D1F9C1-1428,Cardoso Verde 1,2023-03,1,1,2026-04-20 18:28:20,Crítico,2024-08-23 02:13:39,ST-01,Concluído,300,5,2024-08-15,True
BEEF60-4388,Cardoso Verde 1,2023-06,4,3,2024-12-21 03:41:31,Alto,2025-06-18 07:04:20,ST-01,Aberto,200,10,2025-08-20,True
51F618-5644,Gomes de Garcia 3,2023-04,1,1,2026-06-16 00:58:56,Médio,2026-06-19 17:33:40,ST-01,Cancelado,300,10,2024-07-19,True
36BB87-1013,Siqueira das Pedras 2,2023-01,1,2,2026-02-12 18:09:35,Crítico,2026-04-02 19:32:03,ST-02,Cancelado,100,5,2024-08-15,True
965715-6395,Cardoso Verde 1,2023-12,1,1,2025-01-22 23:58:31,Crítico,2025-11-22 23:28:44,ST-02,Aberto,100,5,2025-05-25,True
0406A2-5054,Siqueira das Pedras 2,2023-04,1,3,2025-06-28 13:27:30,Médio,2026-06-14 09:27:06,ST-02,Cancelado,200,10,2024-09-04,True
61EAC1-6626,Siqueira das Pedras 2,2023-01,2,3,2026-06-21 10:09:33,Crítico,2026-06-14 09:27:06,ST-02,Aberto,300,5,2024-09-15,True
532AAF-5028,Nunes 0,2023-02,2,1,2025-11-02 23:13:34,Crítico,2024-11-24 08:48:46,ST-02,Cancelado,200,5,2024-09-23,True
E1EA04-1954,Nunes 0,2023-05,3,4,2024-11-16 19:46:26,Crítico,2026-05-12 08:01:18,ST-02,Aberto,300,5,2025-08-20,True
1B38A4-3210,Cardoso Verde 1,2023-09,4,3,2025-12-26 19:55:02,Baixo,2024-11-24 08:48:46,ST-02,Aberto,100,10,2026-05-25,True
0B1BBB-388,Gomes de Garcia 3,2023-08,1,3,2026-05-26 06:22:09,Baixo,2024-07-23 11:43:18,ST-02,Cancelado,200,10,2025-08-29,True
CDBA85-842,Siqueira das Pedras 2,2023-09,4,4,2025-12-21 15:38:03,Médio,2024-08-12 14:20:14,ST-01,Aberto,200,5,2024-09-23,True
065CFD-4696,Siqueira das Pedras 2,2023-08,4,1,2024-08-28 16:24:08,Médio,2024-11-24 08:48:46,ST-01,Em Andamento,400,5,2024-09-04,True
5BBDDC-5878,Cardoso Verde 1,2023-08,1,1,2024-11-05 19:07:54,Médio,2026-04-02 19:32:03,ST-02,Concluído,300,5,2026-06-25,True
7349A7-4381,Gomes de Garcia 3,2023-11,2,2,2024-07-01 14:38:14,Crítico,2024-11-24 08:48:46,ST-01,Aberto,300,5,2025-08-29,True
EC767F-1258,Cardoso Verde 1,2023-05,1,2,2025-08-06 21:56:26,Crítico,2025-10-08 04:41:09,ST-01,Concluído,200,5,2026-05-25,True
143676-6440,Nunes 0,2023-09,4,2,2025-04-11 06:58:32,Crítico,2025-04-03 20:47:40,ST-02,Cancelado,300,5,2025-08-20,True
EF9CCF-6195,Gomes de Garcia 3,2023-03,3,1,2025-04-03 04:27:17,Médio,2024-08-12 14:20:14,ST-01,Em Andamento,300,10,2025-12-23,True
870A11-1453,Nunes 0,2023-12,1,3,2025-10-15 00:40:10,Alto,2024-11-24 08:48:46,ST-01,Cancelado,400,10,2026-05-18,True
A46F2D-442,Cardoso Verde 1,2023-04,2,4,2025-09-20 23:23:27,Alto,2025-10-10 09:10:13,ST-02,Concluído,300,5,2025-05-25,True
F4F97E-2441,Porto do Galho 4,2023-06,3,2,2025-01-28 10:32:08,Alto,2024-11-04 13:58:14,ST-01,Concluído,300,5,2024-09-04,True
922089-440,Nunes 0,2023-02,2,1,2025-05-26 04:26:57,Alto,2024-08-02 04:55:02,ST-02,Cancelado,100,10,2024-09-15,True
0DFFEC-525,Nunes 0,2024-01,3,2,2025-06-16 03:49:04,Baixo,2026-06-14 09:27:06,ST-02,Em Andamento,300,10,2025-12-23,True
073DEF-4305,Gomes de Garcia 3,2023-09,3,3,2026-05-02 15:18:40,Alto,2024-08-12 14:20:14,ST-02,Cancelado,100,10,2025-12-23,True
D76823-5283,Porto do Galho 4,2023-01,3,2,2025-02-18 07:15:57,Médio,2024-07-23 11:43:18,ST-01,Aberto,400,10,2025-12-23,True
8C8E5E-5943,Porto do Galho 4,2024-01,1,4,2026-01-31 22:13:45,Alto,2024-11-04 13:58:14,ST-01,Em Andamento,400,5,2024-09-04,True
9A4176-1782,Siqueira das Pedras 2,2023-02,2,1,2024-07-02 06:41:30,Médio,2024-08-02 04:55:02,ST-01,Cancelado,400,5,2025-08-29,True
3F62B0-4266,Siqueira das Pedras 2,2023-10,4,4,2026-01-25 14:54:45,Baixo,2024-11-24 08:48:46,ST-02,Em Andamento,400,5,2024-11-12,True
41750F-6257,Siqueira das Pedras 2,2023-03,1,4,2025-06-09 00:06:10,Baixo,2026-04-24 03:21:18,ST-02,Em Andamento,300,5,2024-07-19,True
3F221C-2788,Siqueira das Pedras 2,2023-07,3,1,2024-09-24 04:10:51,Médio,2026-05-12 08:01:18,ST-02,Em Andamento,400,5,2024-11-12,True
230665-3571,Nunes 0,2023-01,1,3,2026-03-07 22:44:33,Crítico,2025-03-06 20:48:27,ST-02,Aberto,300,10,2025-12-23,True
C10F72-1088,Gomes de Garcia 3,2023-10,4,2,2024-10-04 17:58:33,Médio,2026-05-12 08:01:18,ST-02,Cancelado,100,10,2026-06-25,True
E6B57F-3381,Gomes de Garcia 3,2023-12,2,1,2025-06-25 04:18:00,Médio,2026-05-16 01:41:14,ST-02,Em Andamento,300,5,2024-09-23,True
926B11-5121,Porto do Galho 4,2023-04,2,2,2024-11-30 16:30:33,Médio,2024-11-24 08:48:46,ST-02,Concluído,100,5,2025-08-20,True
98701F-4531,Nunes 0,2024-01,3,4,2024-10-18 06:49:55,Crítico,2026-04-24 03:21:18,ST-01,Cancelado,300,5,2024-08-15,True
3660E9-4888,Nunes 0,2023-10,4,3,2026-05-18 03:22:25,Alto,2026-06-14 09:27:06,ST-02,Concluído,400,10,2025-08-29,True
82F904-5485,Porto do Galho 4,2023-11,1,2,2024-09-28 18:44:44,Crítico,2024-07-23 11:43:18,ST-01,Cancelado,200,5,2024-09-04,True
25BEFE-1672,Siqueira das Pedras 2,2024-01,3,3,2024-11-29 14:30:27,Médio,2024-11-04 13:58:14,ST-01,Cancelado,300,5,2025-08-29,True
5C6A00-1679,Cardoso Verde 1,2023-01,2,4,2025-04-15 20:56:16,Baixo,2025-03-06 20:48:27,ST-02,Aberto,300,10,2024-09-04,True
B82645-3413,Siqueira das Pedras 2,2023-02,2,4,2026-01-30 07:53:59,Baixo,2025-10-08 04:41:09,ST-02,Em Andamento,100,10,2026-06-25,True
35DF8F-4064,Nunes 0,2023-11,4,3,2024-11-22 06:44:07,Crítico,2025-06-18 07:04:20,ST-01,Aberto,200,5,2024-09-23,True
D15863-620,Cardoso Verde 1,2023-11,4,2,2026-06-29 02:01:49,Crítico,2025-11-22 23:28:44,ST-02,Aberto,100,5,2024-09-04,True
A471AD-326,Gomes de Garcia 3,2023-10,3,2,2024-09-24 16:01:41,Alto,2024-08-02 04:55:02,ST-01,Cancelado,300,10,2025-05-25,True
5CF028-1724,Porto do Galho 4,2023-01,4,4,2025-04-21 11:34:48,Médio,2024-08-23 02:13:39,ST-02,Em Andamento,400,5,2024-09-23,True
0B298F-5916,Cardoso Verde 1,2023-06,1,4,2024-11-21 03:17:04,Crítico,2026-05-16 01:41:14,ST-02,Concluído,100,5,2026-05-18,True
AC1113-203,Porto do Galho 4,2023-06,2,1,2024-10-06 13:47:05,Alto,2024-08-02 04:55:02,ST-02,Em Andamento,300,5,2026-05-25,True
9178A4-6613,Gomes de Garcia 3,2023-11,1,1,2025-07-15 00:31:07,Médio,2026-04-02 19:32:03,ST-02,Em Andamento,400,5,2025-08-20,True
1B2F20-1159,Gomes de Garcia 3,2023-12,1,2,2026-06-21 10:09:33,Médio,2026-06-14 09:27:06,ST-01,Cancelado,400,10,2024-07-19,True
012EBD-606,Porto do Galho 4,2023-08,1,4,2024-08-24 23:01:57,Crítico,2025-08-02 13:15:23,ST-02,Em Andamento,200,10,2026-05-25,True
52BA76-1894,Cardoso Verde 1,2023-10,4,1,2025-09-07 08:31:34,Médio,2025-08-02 13:15:23,ST-01,Aberto,400,5,2024-11-12,True
28CDBD-3837,Nunes 0,2023-11,4,2,2026-05-25 03:53:56,Médio,2026-06-14 09:27:06,ST-02,Cancelado,400,5,2026-05-18,True
9E0C1A-4154,Gomes de Garcia 3,2023-03,2,4,2024-06-30 02:27:35,Alto,2024-11-04 13:58:14,ST-01,Em Andamento,200,10,2024-08-15,True
230D1E-3358,Porto do Galho 4,2023-09,3,1,2025-06-05 16:17:18,Crítico,2024-07-23 11:43:18,ST-02,Aberto,400,5,2026-05-18,True
17774E-2497,Porto do Galho 4,2024-01,1,4,2025-01-26 19:51:51,Médio,2026-04-02 19:32:03,ST-02,Aberto,300,10,2026-06-25,True
3B58BE-6079,Gomes de Garcia 3,2024-01,1,2,2024-12-18 19:44:20,Crítico,2024-08-23 02:13:39,ST-01,Em Andamento,200,5,2025-08-20,True
94277D-1180,Cardoso Verde 1,2023-06,1,4,2025-11-09 05:17:51,Baixo,2024-08-23 02:13:39,ST-02,Aberto,300,10,2025-08-20,True
0AC7F3-5758,Porto do Galho 4,2023-09,2,1,2025-11-25 05:49:40,Alto,2026-06-14 09:27:06,ST-02,Em Andamento,400,10,2026-05-18,True
3F7AEB-1596,Gomes de Garcia 3,2023-09,3,1,2024-11-25 06:07:30,Baixo,2024-11-24 08:48:46,ST-01,Aberto,200,10,2026-06-25,True
C46636-2588,Cardoso Verde 1,2023-08,1,2,2026-02-24 22:39:48,Alto,2026-05-16 01:41:14,ST-02,Concluído,100,5,2024-08-15,True
482BB7-4930,Gomes de Garcia 3,2023-05,4,4,2025-06-07 21:29:16,Crítico,2026-06-19 17:33:40,ST-02,Cancelado,100,5,2026-05-18,True
